addr,size,name, access, default, range, unit
0,2,Model Number,R,"1,020",-,-
2,4,Model Information,R,-,-,-
6,1,Firmware Version,R,-,-,-
7,1,ID,RW,1,0 ~ 252,-
8,1,Baud Rate,RW,1,0 ~ 7,-
9,1,Return Delay Time,RW,250,0 ~ 254,2 [μsec]
10,1,Drive Mode,RW,0,0 ~ 5,-
11,1,Operating Mode,RW,3,0 ~ 16,-
12,1,Secondary(Shadow) ID,RW,255,0 ~ 252,-
13,1,Protocol Type,RW,2,1 ~ 2,-
20,4,Homing Offset,RW,0,"-1,044,479 ~
1,044,479",1 [pulse]
24,4,Moving Threshold,RW,10,"0 ~ 1,023",0.229 [rev/min]
31,1,Temperature Limit,RW,80,0 ~ 100,1 [°C]
32,2,Max Voltage Limit,RW,160,95 ~ 160,0.1 [V]
34,2,Min Voltage Limit,RW,95,95 ~ 160,0.1 [V]
36,2,PWM Limit,RW,885,0 ~ 885,0.113 [%]
38,2,Current Limit,RW,"1,193","0 ~ 1,193",2.69 [mA]
44,4,Velocity Limit,RW,200,"0 ~ 1,023",0.229 [rev/min]
48,4,Max Position Limit,RW,"4,095","0 ~ 4,095",1 [pulse]
52,4,Min Position Limit,RW,0,"0 ~ 4,095",1 [pulse]
63,1,Shutdown,RW,52,-,-
64,1,Torque Enable,RW,0,0 ~ 1,-
65,1,LED,RW,0,0 ~ 1,-
68,1,Status Return Level,RW,2,0 ~ 2,-
69,1,Registered Instruction,R,0,0 ~ 1,-
70,1,Hardware Error Status,R,0,-,-
76,2,Velocity I Gain,RW,"1,920","0 ~ 16,383",-
78,2,Velocity P Gain,RW,100,"0 ~ 16,383",-
80,2,Position D Gain,RW,0,"0 ~ 16,383",-
82,2,Position I Gain,RW,0,"0 ~ 16,383",-
84,2,Position P Gain,RW,800,"0 ~ 16,383",-
88,2,Feedforward 2nd Gain,RW,0,"0 ~ 16,383",-
90,2,Feedforward 1st Gain,RW,0,"0 ~ 16,383",-
98,1,Bus Watchdog,RW,0,1 ~ 127,20 [msec]
100,2,Goal PWM,RW,-,"-PWM Limit(36) ~
PWM Limit(36)",0.113 [%]
102,2,Goal Current,RW,-,"-Current Limit(38) ~
Current Limit(38)",2.69 [mA]
104,4,Goal Velocity,RW,-,"-Velocity Limit(44) ~
Velocity Limit(44)",0.229 [rev/min]
108,4,Profile Acceleration,RW,0,"0 ~ 32,767
0 ~ 32,737","214.577 [rev/min2]
1 [ms]"
112,4,Profile Velocity,RW,0,"0 ~ 32,767",0.229 [rev/min]
116,4,Goal Position,RW,-,"Min Position Limit(52) ~
Max Position Limit(48)",1 [pulse]
120,2,Realtime Tick,R,-,"0 ~ 32,767",1 [msec]
122,1,Moving,R,0,0 ~ 1,-
123,1,Moving Status,R,0,-,-
124,2,Present PWM,R,-,-,-
126,2,Present Current,R,-,-,2.69 [mA]
128,4,Present Velocity,R,-,-,0.229 [rev/min]
132,4,Present Position,R,-,-,1 [pulse]
136,4,Velocity Trajectory,R,-,-,0.229 [rev/min]
140,4,Position Trajectory,R,-,-,1 [pulse]
144,2,Present Input Voltage,R,-,-,0.1 [V]
146,1,Present Temperature,R,-,-,1 [°C]
168,2,Indirect Address 1,RW,224,64 ~ 661,-
170,2,Indirect Address 2,RW,225,64 ~ 661,-
172,2,Indirect Address 3,RW,226,64 ~ 661,-
…,…,…,…,…,-,-
218,2,Indirect Address 26,RW,249,64 ~ 661,-
220,2,Indirect Address 27,RW,250,64 ~ 661,-
222,2,Indirect Address 28,RW,251,64 ~ 661,-
224,1,Indirect Data 1,RW,0,0 ~ 255,-
225,1,Indirect Data 2,RW,0,0 ~ 255,-
226,1,Indirect Data 3,RW,0,0 ~ 255,-
…,…,…,…,…,-,-
249,1,Indirect Data 26,RW,0,0 ~ 255,-
250,1,Indirect Data 27,RW,0,0 ~ 255,-
251,1,Indirect Data 28,RW,0,0 ~ 255,-
578,2,Indirect Address 29,RW,634,64 ~ 661,-
580,2,Indirect Address 30,RW,635,64 ~ 661,-
582,2,Indirect Address 31,RW,636,64 ~ 661,-
…,…,…,…,…,-,-
628,2,Indirect Address 54,RW,659,64 ~ 661,-
630,2,Indirect Address 55,RW,660,64 ~ 661,-
632,2,Indirect Address 56,RW,661,64 ~ 661,-
634,1,Indirect Data 29,RW,0,0 ~ 255,-
635,1,Indirect Data 30,RW,0,0 ~ 255,-
636,1,Indirect Data 31,RW,0,0 ~ 255,-
…,…,…,…,…,-,-
659,1,Indirect Data 54,RW,0,0 ~ 255,-
660,1,Indirect Data 55,RW,0,0 ~ 255,-
661,1,Indirect Data 56,RW,0,0 ~ 255,-
